"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"개포1동001",1,,서울특별시 강남구 개포동570,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동002",1,,서울특별시 강남구 개포동571-1,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동003",1,,서울특별시 강남구 개포동572-1,,,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동004",1,,서울특별시 강남구 개포동571-1,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동005",1,,서울특별시 강남구 개포동570,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동006",1,,서울특별시 강남구 개포동599,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동007",1,,서울특별시 강남구 개포동599,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동008",1,,서울특별시 강남구 개포동597-9,,,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동009",1,,서울특별시 강남구 개포동598-1,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동010",1,,서울특별시 강남구 개포동산156-2,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동011",1,,서울특별시 강남구 개포동산156-2,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동012",1,,서울특별시 강남구 개포동589-49,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동013",1,,서울특별시 강남구 개포동589-29,,,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동014",1,,서울특별시 강남구 개포동589-19,,,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동015",1,,서울특별시 강남구 개포동601,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동016",1,,서울특별시 강남구 개포동606-1,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동017",1,,서울특별시 강남구 개포동606-1,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동018",1,,서울특별시 강남구 개포동606-4,,,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동019",1,,서울특별시 강남구 개포동606-6,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동020",1,,서울특별시 강남구 개포동610-4,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동021",1,,서울특별시 강남구 개포동610-4,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동022",1,,서울특별시 강남구 개포동산152-3,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동023",1,,서울특별시 강남구 개포동산153,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동024",1,,서울특별시 강남구 개포동612,37.4760652661,127.0672861878,,,02-3423-6585,서울특별시 강남구청,2020-12-18
"개포1동025",1,,서울특별시 강남구 개포동572-2,,,,,02-3423-6585,서울특별시 강남구청,2020-12-18
